Date,Open,High,Low,Close,Adj Close,Volume
2017-09-22,73.989998,74.510002,73.849998,74.410004,73.092697,14111400
2017-09-25,74.089996,74.250000,72.919998,73.260002,71.963051,24149200
2017-09-26,73.669998,73.809998,72.989998,73.260002,71.963051,18019600
2017-09-27,73.550003,74.169998,73.169998,73.849998,72.542610,19565100
2017-09-28,73.540001,73.970001,73.309998,73.870003,72.562256,10883800
2017-09-29,73.940002,74.540001,73.879997,74.489998,73.171272,17079100
2017-10-02,74.709999,75.010002,74.300003,74.610001,73.289154,15304800
2017-10-03,74.669998,74.879997,74.190002,74.260002,72.945351,12190400
2017-10-04,74.089996,74.720001,73.709999,74.690002,73.367737,13317700
2017-10-05,75.220001,76.120003,74.959999,75.970001,74.625076,21195300
2017-10-06,75.669998,76.029999,75.540001,76.000000,74.654549,13959800
2017-10-09,75.970001,76.550003,75.860001,76.290001,74.939415,11386500
2017-10-10,76.330002,76.629997,76.139999,76.290001,74.939415,13944500
2017-10-11,76.360001,76.459999,75.949997,76.419998,75.067108,15388900
2017-10-12,76.489998,77.290001,76.370003,77.120003,75.754723,16876500
2017-10-13,77.589996,77.870003,77.290001,77.489998,76.118172,15335700
2017-10-16,77.419998,77.809998,77.349998,77.650002,76.275330,12380100
2017-10-17,77.470001,77.620003,77.250000,77.589996,76.216393,16824000
2017-10-18,77.669998,77.849998,77.370003,77.610001,76.236046,13300700
2017-10-19,77.570000,77.930000,77.349998,77.910004,76.530739,15092800
2017-10-20,78.320000,78.970001,78.220001,78.809998,77.414795,22866400
2017-10-23,78.989998,79.339996,78.760002,78.830002,77.434448,20627200
2017-10-24,78.900002,79.199997,78.459999,78.860001,77.463921,17517200
2017-10-25,78.580002,79.099998,78.010002,78.629997,77.237976,20410800
2017-10-26,79.199997,79.419998,78.750000,78.760002,77.365685,32120700
2017-10-27,84.370003,86.199997,83.610001,83.809998,82.326286,71066700
2017-10-30,83.699997,84.330002,83.110001,83.889999,82.404861,31756700
2017-10-31,84.360001,84.360001,83.110001,83.180000,81.707436,27086600
2017-11-01,83.680000,83.760002,82.879997,83.180000,81.707436,22307400
2017-11-02,83.349998,84.459999,83.120003,84.050003,82.562035,23992900
2017-11-03,84.080002,84.540001,83.400002,84.139999,82.650444,17633500
2017-11-06,84.199997,84.699997,84.080002,84.470001,82.974594,19860900
