Date,Open,High,Low,Close,Adj Close,Volume
2017-09-08,38.450001,38.459999,37.509998,38.209999,37.467819,53868200
2017-09-11,38.299999,38.419998,37.560001,37.830002,37.095200,29644600
2017-09-12,38.380001,38.830002,37.560001,37.900002,37.163841,36773200
2017-09-13,37.889999,38.310001,37.880001,37.959999,37.222675,23398200
2017-09-14,37.939999,38.040001,37.570000,37.599998,36.869667,26552600
2017-09-15,37.549999,37.549999,36.439999,36.930000,36.212681,62370100
2017-09-18,36.880001,37.310001,36.590000,37.110001,36.389187,27256900
2017-09-19,37.070000,37.419998,36.669998,37.299999,36.575497,38769700
2017-09-20,37.439999,37.799999,37.250000,37.459999,36.732388,31081300
2017-09-21,37.380001,37.740002,37.369999,37.470001,36.742191,18562700
2017-09-22,37.279999,38.139999,37.270000,38.099998,37.359951,21749200
2017-09-25,38.070000,38.110001,37.529999,37.910000,37.173645,21601800
2017-09-26,37.900002,38.080002,37.639999,37.810001,37.075592,16012300
2017-09-27,37.830002,38.840000,37.720001,38.529999,37.781605,24698700
2017-09-28,38.250000,38.400002,37.730000,37.820000,37.085392,16361300
2017-09-29,37.820000,38.509998,37.610001,38.480000,37.732574,19204300
2017-10-02,38.410000,38.849998,37.930000,37.970001,37.232483,18158900
2017-10-03,37.779999,38.380001,37.689999,38.299999,37.713001,18542100
2017-10-04,38.349998,38.610001,38.119999,38.590000,37.998558,20979300
2017-10-05,38.599998,38.779999,38.090000,38.349998,37.762230,20141600
2017-10-06,38.310001,38.450001,37.950001,38.009998,37.427444,18821500
2017-10-09,37.990002,38.250000,37.720001,37.799999,37.220665,10684800
2017-10-10,37.799999,38.040001,37.509998,37.689999,37.112350,15016500
2017-10-11,37.639999,37.639999,37.200001,37.419998,36.846489,26369100
2017-10-12,36.799999,36.900002,35.779999,35.950001,35.399021,50704500
2017-10-13,35.919998,36.160000,35.259998,36.009998,35.458099,43672500
2017-10-16,36.160000,37.090000,36.119999,36.610001,36.048904,26664900
2017-10-17,36.570000,36.730000,36.439999,36.470001,35.911053,14930300
2017-10-18,36.549999,36.630001,36.130001,36.200001,35.645187,17992900
2017-10-19,36.150002,37.009998,36.049999,36.900002,36.334457,25334200
2017-10-20,37.200001,37.220001,36.869999,37.220001,36.649555,14577700
2017-10-23,37.270000,37.270000,36.520000,36.549999,35.989822,30745800
2017-10-24,36.639999,36.880001,36.259998,36.500000,35.940590,25248400
2017-10-25,36.220001,36.849998,36.200001,36.830002,36.265533,26233700
2017-10-26,35.889999,37.200001,35.520000,36.270000,35.714115,58632000
2017-10-27,35.930000,36.919998,35.340000,36.790001,36.226147,51081700
2017-10-30,36.669998,36.700001,36.060001,36.500000,35.940590,29432200
2017-10-31,36.509998,36.570000,35.930000,36.029999,35.477791,21828600
2017-11-01,36.250000,36.419998,35.939999,36.080002,35.527027,18199800
2017-11-02,36.090000,36.090000,34.919998,35.150002,34.611279,40319000
2017-11-03,35.080002,35.689999,34.779999,35.680000,35.133160,30164300
2017-11-06,35.580002,36.060001,35.279999,35.540001,34.995304,23362200
2017-11-07,35.570000,36.910000,35.570000,36.389999,35.832275,38113900
2017-11-08,36.509998,36.630001,36.070000,36.209999,35.655033,23914900
2017-11-09,35.980000,36.919998,35.830002,36.560001,35.999672,16159800
2017-11-10,36.500000,37.310001,36.500000,36.849998,36.285221,18010100
2017-11-13,36.689999,37.279999,36.590000,37.250000,36.679092,16256600
2017-11-14,37.009998,37.060001,36.610001,36.860001,36.295067,20192100
2017-11-15,36.900002,37.279999,36.669998,37.180000,36.610165,20447100
2017-11-16,36.900002,37.570000,36.900002,37.070000,36.501854,21597800
2017-11-17,37.000000,37.000000,36.119999,36.160000,35.605801,38138600
2017-11-20,36.099998,36.349998,35.750000,35.830002,35.280861,19409500
2017-11-21,36.139999,36.509998,36.000000,36.419998,35.861813,22750400
2017-11-22,36.389999,36.490002,36.130001,36.410000,35.851967,16402300
2017-11-24,36.290001,36.349998,35.779999,35.869999,35.320248,12296300
2017-11-27,35.779999,35.869999,35.310001,35.549999,35.005150,24580500
2017-11-28,35.560001,36.250000,35.259998,36.250000,35.694424,34506700
2017-11-29,37.080002,37.730000,36.009998,37.189999,36.620010,33941000
2017-11-30,36.970001,37.639999,36.480000,37.540001,36.964649,42859900
2017-12-01,37.150002,38.700001,37.110001,38.430000,37.841011,32532600
2017-12-04,39.419998,40.730000,39.419998,40.320000,39.702042,55137400
2017-12-05,39.869999,40.389999,39.470001,39.520000,38.914303,28738200
2017-12-06,39.830002,39.840000,38.549999,38.630001,38.037941,25463700
2017-12-07,38.500000,38.570000,37.750000,37.889999,37.309284,29281700
2017-12-08,38.500000,38.500000,37.869999,37.950001,37.368370,22224000
2017-12-11,38.279999,38.459999,37.959999,38.439999,37.850857,23772100
2017-12-12,39.400002,40.150002,39.000000,39.509998,38.904453,33637600
2017-12-13,39.509998,39.540001,38.500000,38.580002,37.988712,27981100
2017-12-14,38.810001,39.709999,38.189999,39.119999,38.520435,23292300
2017-12-15,39.490002,39.869999,38.990002,39.709999,39.101395,47358400
2017-12-18,39.980000,40.080002,39.450001,39.540001,38.933998,18523300
2017-12-19,39.459999,39.540001,38.860001,39.139999,38.540131,21131900
2017-12-20,39.400002,39.590000,38.959999,39.380001,38.776451,17191000
2017-12-21,39.480000,41.240002,39.400002,40.810001,40.184536,34401700
2017-12-22,40.840000,41.090000,40.540001,40.779999,40.154995,13485300
2017-12-26,40.639999,41.009998,40.630001,40.820000,40.194378,10478700
2017-12-27,40.840000,40.849998,40.250000,40.410000,39.790665,12029600
2017-12-28,40.580002,40.580002,40.029999,40.290001,39.672501,9198000
2017-12-29,40.099998,40.419998,40.049999,40.049999,39.436176,11879000
2018-01-02,40.860001,41.110001,40.049999,41.070000,40.600719,18270300
2018-01-03,40.750000,41.369999,40.049999,40.410000,39.948261,21062900
2018-01-04,40.470001,40.720001,40.099998,40.669998,40.205288,18143800
2018-01-05,40.910000,41.240002,40.410000,41.040001,40.571060,17007500
2018-01-08,40.770000,41.029999,40.290001,40.480000,40.017464,15189500
2018-01-09,40.529999,41.029999,40.450001,40.610001,40.145977,17026000
2018-01-10,40.430000,41.169998,40.160000,41.090000,40.620491,20198100
2018-01-11,41.200001,42.669998,41.139999,42.599998,42.113235,36703700
2018-01-12,42.570000,42.709999,41.930000,42.439999,41.955063,18672300
2018-01-16,42.590000,42.590000,41.750000,41.820000,41.342148,19018100
2018-01-17,42.049999,42.209999,41.410000,41.680000,41.203747,17078100
2018-01-18,41.060001,41.939999,41.009998,41.849998,41.371807,21817300
2018-01-19,41.950001,42.580002,41.790001,42.500000,42.014381,23591700
2018-01-22,42.410000,42.919998,42.150002,42.889999,42.399921,22437400
2018-01-23,42.500000,42.840000,41.959999,42.439999,41.955063,19155500
2018-01-24,42.700001,44.000000,41.570000,42.990002,42.498783,48918800
2018-01-25,43.119999,43.529999,41.980000,42.139999,41.658493,27799100
2018-01-26,42.099998,42.799999,41.950001,42.799999,42.310951,27999900
2018-01-29,42.299999,42.340000,41.349998,41.980000,41.500324,21559300
2018-01-30,42.029999,42.459999,41.689999,42.340000,41.856209,21398600
2018-01-31,42.290001,42.730000,42.080002,42.529999,42.044033,26926300
2018-02-01,42.169998,42.590000,41.880001,41.889999,41.411346,26485900
2018-02-02,41.500000,42.160000,40.830002,41.110001,40.640263,32030600
2018-02-05,41.360001,41.639999,39.099998,39.200001,38.752087,42367300
2018-02-06,38.919998,39.799999,38.500000,39.669998,39.216713,48696300
2018-02-07,39.500000,40.419998,39.369999,40.150002,39.691235,33065600
2018-02-08,39.900002,40.160000,38.150002,38.189999,37.753624,34122900
2018-02-09,38.369999,38.990002,37.430000,38.570000,38.129288,37376000
2018-02-12,38.599998,39.070000,38.270000,38.540001,38.099628,30682500
2018-02-13,38.160000,39.169998,38.099998,38.959999,38.514828,18133300
2018-02-14,38.820000,39.619999,38.500000,39.430000,38.979462,21982500
2018-02-15,39.759998,40.119999,39.259998,40.080002,39.622036,21687700
2018-02-16,39.990002,40.419998,39.689999,39.790001,39.335346,22563900
2018-02-20,39.540001,39.689999,39.040001,39.470001,39.019001,18163800
2018-02-21,39.450001,39.840000,39.000000,39.009998,38.564259,14230300
2018-02-22,39.060001,39.570000,38.570000,38.799999,38.356659,18800900
2018-02-23,39.150002,39.650002,38.910000,39.500000,39.048660,16514400
2018-02-26,39.529999,39.740002,39.369999,39.580002,39.127747,14875600
2018-02-27,38.000000,38.200001,36.590000,36.660000,36.241112,69200000
2018-02-28,36.900002,37.080002,35.750000,36.209999,35.796249,69818500
2018-03-01,36.439999,36.869999,36.200001,36.540001,36.122482,34517600
2018-03-02,36.250000,36.580002,36.060001,36.490002,36.073051,28854900
2018-03-05,36.410000,37.099998,36.150002,36.779999,36.359737,29259400
