Date,Open,High,Low,Close,Adj Close,Volume
2017-09-27,62.000000,63.450001,61.990002,63.090000,62.766415,5001700
2017-09-28,63.049999,63.599998,62.630001,63.540001,63.214104,5928500
2017-09-29,63.490002,64.709999,63.439999,64.510002,64.179131,5048300
2017-10-02,64.419998,64.709999,62.990002,63.389999,63.064873,5570400
2017-10-03,63.610001,63.790001,62.950001,63.450001,63.124565,3775800
2017-10-04,63.070000,63.330002,62.150002,62.630001,62.308773,6693000
2017-10-05,62.650002,63.240002,62.209999,63.090000,62.766415,4505500
2017-10-06,62.730000,63.380001,62.290001,63.250000,62.925591,3837200
2017-10-09,61.500000,61.740002,60.560001,61.180000,60.866211,8840900
2017-10-10,61.150002,61.560001,60.759998,61.450001,61.134827,5735600
2017-10-11,61.270000,61.389999,60.520000,61.360001,61.045288,5644600
2017-10-12,61.450001,62.580002,61.200001,62.049999,61.731747,4715600
2017-10-13,62.380001,62.439999,60.549999,61.080002,60.766724,7151600
2017-10-16,61.119999,61.970001,61.009998,61.480000,61.164669,4538700
2017-10-17,61.529999,61.860001,60.970001,61.660000,61.343746,2674800
2017-10-18,61.720001,62.119999,61.459999,61.500000,61.184566,3930200
2017-10-19,60.950001,62.029999,60.360001,61.990002,61.672058,5123500
2017-10-20,62.480000,63.139999,62.230000,62.630001,62.308773,5283200
2017-10-23,62.700001,62.880001,61.230000,61.459999,61.144772,4281000
2017-10-24,61.939999,63.330002,61.740002,62.730000,62.408260,6098700
2017-10-25,62.279999,62.599998,61.189999,61.810001,61.492981,5419600
2017-10-26,62.270000,62.590000,61.880001,62.060001,61.741695,4846400
2017-10-27,62.360001,64.269997,62.360001,64.139999,63.811028,6174600
2017-10-30,64.330002,65.580002,64.269997,65.300003,64.965080,6567700
2017-10-31,65.339996,66.029999,64.860001,65.489998,65.154099,6876900
2017-11-01,65.690002,65.779999,64.250000,65.330002,64.994926,5139100
2017-11-02,65.410004,65.839996,64.830002,65.449997,65.114304,6129400
2017-11-03,66.870003,67.029999,62.110001,63.200001,62.875851,18879300
2017-11-06,63.410000,63.720001,60.709999,60.869999,60.557796,12947200
2017-11-07,61.090000,61.349998,60.099998,60.959999,60.647335,7597800
2017-11-08,62.500000,64.900002,62.150002,64.550003,64.218925,12604700
2017-11-09,63.490002,64.180000,62.590000,63.310001,62.985287,5421700
2017-11-10,62.869999,63.070000,62.250000,63.000000,62.676876,4858900
2017-11-13,62.720001,63.970001,62.669998,63.619999,63.293694,3036800
2017-11-14,63.369999,64.400002,62.790001,64.029999,63.701591,4562800
2017-11-15,63.430000,63.669998,62.500000,62.889999,62.567436,4071100
2017-11-16,63.130001,64.410004,63.040001,64.129997,63.801075,4589000
